Ýlçe, Mahalle, Net Metrekare, Oda Sayýsý, Bulunduðu Kat, Isýtma Tipi, Eþya Durumu, Konut Tipi, Brüt Metrekare, Bina Yaþý, Binanýn Kat Sayýsý, Site Ýçerisinde, Fiyat
Esenyurt , Ýncirtepe Mahallesi,85,2+1,5,Kombi Doðalgaz,Boþ,Daire,100,15,5,Hayýr,12500
Esenyurt , Barbaros Hayrettin Paþa Mahallesi,53,Stüdyo,8,Merkezi (Pay Ölçer),Boþ,Daire,60,10,12,Hayýr,12000
Esenyurt , Mehmet Akif Ersoy Mahallesi,90,2+1,7,Kombi Doðalgaz,Eþyalý,Daire,100,4,15,Evet,17500
Esenyurt , Mehmet Akif Ersoy Mahallesi,90,2+1,8,Kombi Doðalgaz,Eþyalý,Daire,100,4,15,Evet,16500
Esenyurt , Yeþilkent Mahallesi,51,1+1,0,Merkezi (Pay Ölçer),Eþyalý,Daire,55,10,23,Evet,12000
Esenyurt , Zafer Mahallesi,50,1+1,1,Merkezi (Pay Ölçer),Eþyalý,Daire,70,10,10,Evet,12500
Esenyurt , Zafer Mahallesi,51,1+1,16,Merkezi (Pay Ölçer),Eþyalý,Residence,71,1,23,Evet,17500
Esenyurt , Yeþilkent Mahallesi,65,1+1,12,Kombi Doðalgaz,Eþyalý,Daire,80,4,15,Evet,13500
Esenyurt , Barbaros Hayrettin Paþa Mahallesi,42,Stüdyo,13,Merkezi (Pay Ölçer),Eþyalý,Evet,Residence,74,15,15,13000
Esenyurt , Piri Reis Mahallesi,98,2+1,5,Merkezi Doðalgaz,Eþyalý,Daire,127,10,14,Evet,20000
Esenyurt , Cumhuriyet Mahallesi,90,1+1,6,Merkezi (Pay Ölçer),Eþyalý,Daire,105,10,14,Evet,25000
Esenyurt , Zafer Mahallesi,95,2+1,2,Merkezi (Pay Ölçer),Eþyalý,Daire,116,3,25,Evet,20000
Esenyurt , Mehmet Akif Ersoy Mahallesi,90,2+1,7,Kombi Doðalgaz,Eþyalý,Daire,100,4,15,Evet,17000
Esenyurt , Cumhuriyet Mahallesi,70,1+1,8,Merkezi (Pay Ölçer),Eþyalý,Daire,90,15,14,Evet,14000
Esenyurt , Mehmet Akif Ersoy Mahallesi,90,2+1,7,Kombi Doðalgaz,Eþyalý,Daire,100,4,15,Evet,17000
Esenyurt , Yeþilkent Mahallesi,64,1+1,6,Merkezi (Pay Ölçer),Eþyalý,Evet,Daire,66,10,23,11000
Esenyurt , Piri Reis Mahallesi,135,3+1,11,Kombi Doðalgaz,Eþyalý,Evet,Daire,145,25,12,20000
Esenyurt , Yeþilkent Mahallesi,115,2+1,9,Kombi Doðalgaz,Eþyalý,Daire,125,15,22,Evet,14000
Esenyurt , Yeþilkent Mahallesi,45,1+1,10,Merkezi (Pay Ölçer),Eþyalý,Daire,51,10,27,Evet,12500
Esenyurt , Barbaros Hayrettin Paþa Mahallesi,100,1+1,5,Merkezi (Pay Ölçer),Eþyalý,Evet,Residence,120,10,14,17000
Esenyurt , Piri Reis Mahallesi,96,1+1,5,Merkezi (Pay Ölçer),Eþyalý,Daire,115,10,14,Evet,14000
Esenyurt , Piri Reis Mahallesi,96,1+1,5,Merkezi (Pay Ölçer),Eþyalý,Daire,115,10,14,Evet,14000
Esenyurt , Piri Reis Mahallesi,61,1+1,5,Merkezi (Pay Ölçer),Eþyalý,Evet,Residence,105,15,15,18000
Esenyurt , Piri Reis Mahallesi,60,1+1,4,Kombi Doðalgaz,Eþyalý,Daire,75,10,15,Evet,12000
Esenyurt , Piri Reis Mahallesi,70,1+1,3,Merkezi (Pay Ölçer),Eþyalý,Daire,75,10,8,Evet,11000
Esenyurt , Cumhuriyet Mahallesi,50,1+1,3,Merkezi (Pay Ölçer),Eþyalý,Daire,65,4,10,Evet,11000
Esenyurt , Güzelyurt Mahallesi,30,Stüdyo,19,Kombi Doðalgaz,Eþyalý,Daire,50,10,24,Evet,7500
Esenyurt , Koza Mahallesi,70,1+1,16,Merkezi (Pay Ölçer),Eþyalý,Daire,85,4,30,Evet,15000
Esenyurt , Akevler Mahallesi,135,3+1,8,Kombi Doðalgaz,Eþyalý,Daire,145,10,30,Evet,23000
Esenyurt , Koza Mahallesi,70,2+1,10,Merkezi (Pay Ölçer),Eþyalý,Daire,87,10,12,Evet,15000
Esenyurt , Zafer Mahallesi,65,1+1,24,Merkezi (Pay Ölçer),Eþyalý,Residence,80,10,30,Evet,14000
Esenyurt , Zafer Mahallesi,45,1+1,1,Merkezi (Pay Ölçer),Eþyalý,Daire,65,3,9,Evet,15000
Esenyurt , Gökevler Mahallesi,70,1+1,5,Kombi Doðalgaz,Eþyalý,Evet,Residence,75,10,10,15000
Esenyurt , Güzelyurt Mahallesi,120,2+1,8,Kombi Doðalgaz,Evet,Daire,140,10,15,Eþyalý,18000
Esenyurt , Barbaros Hayrettin Paþa Mahallesi,150,2+1,9,Kombi Doðalgaz,Eþyalý,Daire,170,10,20,Evet,30000
Esenyurt , Piri Reis Mahallesi,55,1+1,8,Kombi Doðalgaz,Eþyalý,Daire,65,10,15,Evet,10000
Esenyurt , Barbaros Hayrettin Paþa Mahallesi,65,1+1,17,Klimalý,Eþyalý,Residence,85,3,31,Evet,20000
